Source / Medium,date_launched,date_ended,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Quantity Sold,Revenue,Month,WeekDayName,Year
Direct,2020-05-22,11/8/2020,3578,2602,4915,54.64,6851,112,10.31,22,18,2358,May,Friday,2020
Referral,2019-10-23,4/24/2020,15481,10321,20798,63.92,28991,225,8.25,75,45,7920,October,Wednesday,2019
Referral,2020-01-28,7/22/2020,120685,93866,152380,49.48,203173,95,11.34,770,591,36642,January,Tuesday,2020
Display,2019-12-30,6/13/2020,110928,80675,159109,56.7,226610,259,5.15,689,452,22600,December,Monday,2019
Paid Search,2020-08-05,2/24/2021,45055,34133,57798,70.1,73561,268,7.22,173,140,15540,August,Wednesday,2020
Organic,2019-07-11,2/4/2020,140976,95408,200784,54.64,277853,121,12.37,911,773,105128,July,Thursday,2019
Direct,2020-10-17,4/19/2021,103582,71147,147526,44.33,186270,104,1.03,821,605,244420,October,Saturday,2020
Social,2019-05-24,12/8/2019,80151,61530,105249,43.3,149900,86,9.28,597,476,202776,May,Friday,2019
Display,2019-05-29,12/21/2019,4481,3033,5658,48.45,7487,190,9.28,29,22,9284,May,Wednesday,2019
Direct,2019-06-23,12/26/2019,13698,9962,18126,68.04,23436,199,3.09,58,41,13325,June,Sunday,2019
Social,2019-10-18,5/5/2020,9099,8747,11405,31.19,31980,148,0.39,45,69,9499,October,Friday,2019
Display,2020-11-07,4/25/2021,119214,87905,166177,42.27,231641,138,2.06,959,630,91350,November,Saturday,2020
Referral,2019-06-19,1/19/2020,77853,56620,112454,61.86,138580,60,11.34,429,316,120712,June,Wednesday,2019
Direct,2019-04-08,10/9/2019,190565,146292,256012,46.39,331005,104,5.15,1372,1206,343710,April,Monday,2019
Direct,2020-06-29,1/4/2021,148916,102286,210588,42.27,299928,78,2.06,1216,786,322260,June,Monday,2020
Affiliates,2020-05-11,12/8/2020,7811,5917,10494,71.13,13250,112,2.06,30,25,11025,May,Monday,2020
Email,2019-05-22,11/25/2019,38897,30253,52256,59.79,75481,268,8.25,210,174,59856,May,Wednesday,2019
Email,2020-01-03,7/13/2020,188895,139286,267124,53.61,339976,216,10.31,1239,1001,139139,January,Friday,2020
Referral,2020-07-31,3/6/2021,59362,44372,79749,60.82,108749,173,6.19,312,262,105586,July,Friday,2020
Social,2020-02-25,8/17/2020,173783,129898,236977,62.89,292032,233,3.09,879,550,154550,February,Tuesday,2020
Display,2019-07-16,2/19/2020,122914,81943,170093,73.2,221636,259,9.28,456,401,89423,July,Tuesday,2019
Direct,2020-06-09,12/17/2020,66427,50323,87898,46.39,118085,86,2.06,471,300,93900,June,Tuesday,2020
Organic,2019-10-23,4/17/2020,180686,131408,244565,44.33,340909,69,9.28,1361,866,382772,October,Wednesday,2019
Social,2020-04-17,10/26/2020,370,178,947,33.69,2062,193,26.61,252,488,47532,April,Friday,2020
Email,2020-06-12,12/29/2020,18452,14352,26280,62.89,32120,156,6.19,98,60,24540,June,Friday,2020
Direct,2020-05-17,11/5/2020,167694,113490,208347,65.98,263064,130,11.34,709,645,294120,May,Sunday,2020
Referral,2020-08-11,3/7/2021,87691,62004,108064,52.58,153909,86,4.12,512,321,105609,August,Tuesday,2020
Social,2020-12-26,,149457,107186,209844,50.52,267074,130,2.06,1038,891,237006,December,Saturday,2020
Social,2020-04-14,9/26/2020,74552,50454,94884,54.64,136096,207,8.25,430,295,53985,April,Tuesday,2020
Direct,2019-05-06,11/22/2019,103288,76162,137717,42.27,172494,259,3.09,795,650,77350,May,Monday,2019
Paid Search,2020-02-06,8/5/2020,127122,93736,161792,41.24,222260,52,7.22,951,807,87156,February,Thursday,2020
Organic,2020-05-14,12/14/2020,86953,65873,110667,60.82,148674,156,4.12,434,364,73528,May,Thursday,2020
Email,2020-07-22,1/16/2021,88751,64546,121921,73.2,163793,181,12.37,327,258,26574,July,Wednesday,2020
Organic,2020-05-27,12/16/2020,103469,72115,147365,73.2,202441,181,3.09,395,327,139302,May,Wednesday,2020
Affiliates,2020-03-07,9/4/2020,14518,10559,18917,46.39,24076,104,3.09,101,74,19018,March,Saturday,2020
Direct,2019-04-16,9/28/2019,10886,7917,15614,70.1,19715,147,11.34,47,32,14240,April,Tuesday,2019
Social,2020-07-01,1/24/2021,67887,47315,93945,58.76,121464,199,8.25,387,324,39204,July,Wednesday,2020
Affiliates,2019-07-19,2/11/2020,140931,101072,193602,60.82,271825,104,5.15,759,675,164700,July,Friday,2019
Direct,2020-08-02,2/27/2021,183982,141239,263893,52.58,373182,259,8.25,1251,1099,231889,August,Sunday,2020
Affiliates,2019-07-07,2/14/2020,81994,56319,102700,59.79,130709,225,1.03,413,263,21566,July,Sunday,2019
Direct,2019-03-05,9/21/2019,29174,21512,38899,64.95,53830,259,9.28,136,89,16020,March,Tuesday,2019
Email,2020-04-02,10/8/2020,50778,35904,66165,69.07,88888,268,1.03,205,176,21472,April,Thursday,2020
Display,2020-04-30,11/8/2020,4507,3323,5782,59.79,7709,112,3.09,23,19,4674,April,Thursday,2020
Social,2020-05-05,12/7/2020,142718,95145,193174,48.45,279029,164,11.34,996,895,249705,May,Tuesday,2020
Display,2019-03-15,9/22/2019,191928,127952,259781,64.95,317510,164,6.19,911,727,255177,March,Friday,2019
Social,2020-09-13,4/17/2021,137049,99672,168889,57.73,235421,173,7.22,714,627,252681,September,Sunday,2020
Email,2019-08-02,3/9/2020,119916,90845,172001,43.3,225860,78,9.28,975,660,275880,August,Friday,2019
Organic,2019-03-28,10/21/2019,106461,72049,140873,61.86,177870,277,2.06,537,401,34085,March,Thursday,2019
Organic,2020-02-05,8/25/2020,76746,55815,110080,41.24,151221,121,7.22,647,562,143310,February,Wednesday,2020
Social,2020-06-06,1/13/2021,184890,136333,227844,61.86,289983,69,12.37,869,606,158772,June,Saturday,2020
Paid Search,2020-01-29,8/18/2020,18315,13135,26085,63.92,36888,225,2.06,94,85,34425,January,Wednesday,2020
Social,2020-12-15,,94794,72771,125434,58.76,163444,156,1.03,517,392,148568,December,Tuesday,2020
Organic,2019-02-05,8/20/2019,97590,67032,122234,61.86,176560,251,10.31,466,348,29928,February,Tuesday,2019
Email,2019-06-20,12/12/2019,23693,16753,32069,56.7,39519,216,11.34,139,110,31790,June,Thursday,2019
Social,2020-07-10,2/13/2021,97288,74686,118908,55.67,166952,86,9.28,527,431,75856,July,Friday,2020
Social,2019-10-11,4/29/2020,83605,63337,109784,49.48,155250,233,4.12,555,465,180420,October,Friday,2019
Affiliates,2020-04-03,10/29/2020,46428,33766,61904,64.95,85040,60,11.34,217,197,80770,April,Friday,2020
Direct,2019-11-08,5/17/2020,28230,21386,34503,50.52,49838,207,1.03,171,133,56259,November,Friday,2019
Social,2020-04-24,10/19/2020,156647,112343,196204,51.55,259623,216,5.15,951,807,288906,April,Friday,2020
Social,2020-08-11,2/21/2021,142479,103621,194290,57.73,262978,181,1.03,821,531,121068,August,Tuesday,2020
Affiliates,2019-01-21,7/18/2019,25304,17381,31438,69.07,41282,181,12.37,97,80,28960,January,Monday,2019
Social,2019-05-23,12/9/2019,12810,9058,17339,42.27,23469,78,2.06,100,75,30000,May,Thursday,2019
Organic,2020-04-14,10/9/2020,19474,14753,24392,42.27,33755,147,4.12,141,103,17716,April,Tuesday,2020
Direct,2020-04-27,10/13/2020,148694,112647,214780,73.2,273356,190,10.31,576,413,113162,April,Monday,2020
Display,2020-07-16,1/14/2021,82654,59277,115215,69.07,147801,164,11.34,356,237,75603,July,Thursday,2020
Paid Search,2019-10-16,5/27/2020,2097,1440,2711,54.64,3861,216,2.06,12,8,1688,October,Wednesday,2019
Referral,2020-04-07,9/27/2020,38722,28944,50847,48.45,69337,242,4.12,262,196,19404,April,Tuesday,2020
Referral,2020-02-22,9/17/2020,9599,7175,12508,65.98,15540,69,2.06,43,37,15651,February,Saturday,2020
Referral,2019-09-24,5/5/2020,127647,91545,157302,53.61,195436,138,2.06,730,538,216814,September,Tuesday,2019
Email,2020-06-18,12/1/2020,83092,57073,104914,70.1,136706,138,9.28,314,241,63624,June,Thursday,2020
Affiliates,2020-01-10,7/16/2020,42238,29012,58877,63.92,71961,259,12.37,212,191,57109,January,Friday,2020
Referral,2020-08-18,3/19/2021,80964,54794,99774,65.98,135048,52,5.15,339,271,111652,August,Tuesday,2020
Email,2019-11-22,6/11/2020,95453,66528,116665,48.45,164981,207,10.31,601,480,149280,November,Friday,2019
Direct,2019-01-03,8/12/2019,2973,2072,3934,61.86,5086,104,2.06,15,10,3670,January,Thursday,2019
Organic,2020-11-02,5/7/2021,140772,95270,182008,56.7,244516,86,4.12,788,708,188328,November,Monday,2020
Display,2019-07-30,3/4/2020,89163,64846,117083,46.39,159659,112,3.09,628,520,213200,July,Tuesday,2019
Display,2019-10-09,4/30/2020,7602,5913,10750,49.48,14225,156,2.06,54,42,12726,October,Wednesday,2019
Paid Search,2019-01-31,8/16/2019,28174,19352,38135,41.24,52387,78,10.31,224,195,77610,January,Thursday,2019
Social,2020-03-31,11/8/2020,98781,76830,134701,64.95,168716,277,4.12,472,329,104293,March,Tuesday,2020
Social,2020-05-26,12/31/2020,41225,28733,57882,56.7,73083,233,1.03,251,165,68970,May,Tuesday,2020
Direct,2020-05-07,11/12/2020,13987,10879,18932,52.58,26773,104,10.31,90,78,32838,May,Thursday,2020
Referral,2019-10-14,5/22/2020,170009,116774,245569,57.73,329906,69,12.37,1038,786,142266,October,Monday,2019
Paid Search,2019-01-29,8/31/2019,182053,121369,229865,68.04,294877,251,8.25,735,601,174891,January,Tuesday,2019
Display,2020-01-09,8/8/2020,94444,62963,121155,42.27,171330,78,9.28,699,501,121743,January,Thursday,2020
Social,2020-10-13,5/6/2021,16556,12710,23747,62.89,30703,277,6.19,88,65,6045,October,Tuesday,2020
Display,2020-04-20,11/18/2020,139974,93316,195115,51.55,266066,147,9.28,945,830,134460,April,Monday,2020
Social,2020-09-08,4/8/2021,104779,77261,129122,46.39,160424,216,1.03,692,419,49861,September,Tuesday,2020
Organic,2020-04-03,10/20/2020,137442,105511,187421,65.98,244215,199,9.28,638,400,103200,April,Friday,2020
Referral,2019-01-03,8/3/2019,92409,65340,128813,69.07,183461,156,6.19,398,330,139260,January,Thursday,2019
Affiliates,2020-05-02,10/14/2020,171236,131454,235233,42.27,311268,216,2.06,1358,823,344014,May,Saturday,2020
Paid Search,2020-05-21,12/30/2020,25939,18079,35371,57.73,44303,242,12.37,150,114,15276,May,Thursday,2020
Display,2019-03-16,10/14/2019,376,277,475,45.36,681,225,11.34,3,3,621,March,Saturday,2019
Display,2020-02-12,8/29/2020,27467,20253,34958,46.39,48376,173,5.15,187,168,62832,February,Wednesday,2020
Direct,2019-12-26,7/12/2020,157618,105079,206973,56.7,290598,69,10.31,896,769,311445,December,Thursday,2019
Direct,2020-07-07,1/30/2021,73006,53833,92917,71.13,118258,251,6.19,268,225,97425,July,Tuesday,2020
Organic,2020-12-02,5/25/2021,106898,80983,153328,55.67,196693,233,11.34,680,488,136152,December,Wednesday,2020
Referral,2020-02-24,8/31/2020,112891,79822,156223,61.86,214609,138,8.25,596,433,128168,February,Monday,2020
Paid Search,2020-02-20,9/6/2020,59238,45476,83771,52.58,106618,242,1.03,397,293,38969,February,Thursday,2020
Direct,2019-05-05,11/24/2019,13772,10294,19336,60.82,24024,181,2.06,76,62,7998,May,Sunday,2019
Email,2020-10-11,5/3/2021,139807,97441,200531,62.89,285605,156,3.09,744,639,212787,October,Sunday,2020
Organic,2019-11-26,6/9/2020,175136,136217,231746,71.13,306654,69,8.25,669,460,53360,November,Tuesday,2019
Email,2019-08-29,2/18/2020,3570,2452,4832,52.58,6394,216,9.28,23,16,2608,August,Thursday,2019
Referral,2019-05-24,11/19/2019,9359,6428,11722,56.7,16932,190,6.19,51,32,9696,May,Friday,2019
Display,2019-01-05,6/23/2019,73629,50573,92966,58.76,124894,251,11.34,383,333,27972,January,Saturday,2019
Referral,2020-02-14,8/27/2020,183881,137446,261891,58.76,325380,138,2.06,1080,775,317750,February,Friday,2020
Social,2019-07-02,12/30/2019,2034,1438,2753,57.73,3671,251,1.03,12,11,1639,July,Tuesday,2019
Display,2019-08-12,3/6/2020,139671,93114,197515,69.07,263353,181,7.22,611,457,184628,August,Monday,2019
Display,2020-02-15,9/17/2020,65396,43597,88516,48.45,110869,242,5.15,456,304,93936,February,Saturday,2020
Direct,2020-05-02,11/3/2020,124733,95755,156231,53.61,206730,60,6.19,725,659,148275,May,Saturday,2020
Direct,2020-06-06,1/6/2021,126331,94429,179926,57.73,221727,86,12.37,761,515,117935,June,Saturday,2020
Email,2019-08-25,2/17/2020,166165,112455,238338,49.48,329821,242,8.25,1204,1095,215715,August,Sunday,2019
Organic,2020-04-08,10/20/2020,1688,1268,2537,52.98,9793,193,0.2,5,9,1005,April,Wednesday,2020
Affiliates,2019-05-11,10/26/2019,143367,97026,183915,69.07,243362,216,4.12,569,460,56120,May,Saturday,2019
Paid Search,2020-05-07,11/3/2020,114796,80009,161178,50.52,229557,277,10.31,798,701,191373,May,Thursday,2020
Email,2020-12-02,5/28/2021,190408,144248,248107,73.2,335822,216,10.31,665,584,109208,December,Wednesday,2020
Display,2019-01-16,8/3/2019,132239,89495,173647,56.7,247315,190,9.28,752,630,156870,January,Wednesday,2019
Display,2019-03-22,10/18/2019,21275,16547,29656,67.01,37444,130,9.28,98,86,17458,March,Friday,2019
Affiliates,2020-05-23,12/9/2020,83033,63743,104840,72.16,149318,233,11.34,292,224,71456,May,Saturday,2020
Referral,2020-09-11,3/20/2021,9981,6856,14115,41.24,17537,207,8.25,83,60,13260,September,Friday,2020
Affiliates,2020-06-05,12/15/2020,104336,79042,139115,42.27,199539,190,3.09,803,673,293428,June,Friday,2020
Email,2020-07-04,12/16/2020,162492,126383,234711,58.76,339027,207,6.19,968,714,72114,July,Saturday,2020
Social,2020-12-03,5/19/2021,197276,149452,276983,46.39,388895,181,7.22,1485,945,290115,December,Thursday,2020
Email,2020-11-08,,50027,36889,65692,45.36,90244,225,6.19,359,323,145996,November,Sunday,2020
Direct,2019-02-01,8/4/2019,11623,8688,15732,44.33,22406,104,4.12,88,72,32688,February,Friday,2019
Affiliates,2020-08-15,3/3/2021,81,15,215,25.58,1389,318,1.4,3,7,439,August,Saturday,2020
Paid Search,2020-05-06,12/12/2020,143704,103060,190154,44.33,245856,207,6.19,1059,727,53071,May,Wednesday,2020
Organic,2019-11-17,5/25/2020,89134,65725,108942,43.3,154059,242,1.03,618,549,42273,November,Sunday,2019
Social,2019-09-24,4/22/2020,22712,16518,31889,65.98,40586,199,11.34,108,88,10560,September,Tuesday,2019
Social,2019-08-10,3/10/2020,63976,48467,87886,70.1,125171,69,8.25,263,234,56862,August,Saturday,2019
Display,2019-02-21,8/21/2019,92378,62518,127836,44.33,179487,156,7.22,712,547,236304,February,Thursday,2019
Paid Search,2019-03-27,10/15/2019,37645,27758,49813,42.27,62392,190,4.12,288,177,26904,March,Wednesday,2019
Affiliates,2020-09-03,3/19/2021,64180,45380,88815,69.07,110346,242,2.06,275,236,13688,September,Thursday,2020
Direct,2020-08-08,3/14/2021,3599,2690,5089,62.89,6631,52,2.06,19,16,6240,August,Saturday,2020
Affiliates,2019-09-03,3/20/2020,7121,5251,10142,67.01,14035,112,3.09,33,24,10632,September,Tuesday,2019
Paid Search,2019-03-07,10/6/2019,198195,136134,244240,61.86,350324,233,7.22,932,819,295659,March,Thursday,2019
Direct,2020-04-08,9/27/2020,13934,10415,19564,48.45,26481,104,12.37,101,62,2852,April,Wednesday,2020
Organic,2020-06-18,1/10/2021,95684,71521,134344,64.95,166912,164,4.12,471,390,109980,June,Thursday,2020
Social,2020-03-13,8/26/2020,25294,20428,40622,53.76,121931,88,0.51,208,356,24097,March,Friday,2020
Paid Search,2019-03-12,8/28/2019,140094,96226,199528,73.2,278130,173,6.19,535,476,21420,March,Tuesday,2019
Direct,2020-06-08,1/19/2021,131452,102240,181908,74.23,240707,181,6.19,469,370,105080,June,Monday,2020
Organic,2020-02-18,9/12/2020,161060,107373,211493,57.73,292672,277,4.12,894,813,121137,February,Tuesday,2020
Direct,2019-06-15,1/3/2020,109732,73155,156285,43.3,195751,242,11.34,886,805,104650,June,Saturday,2019
Paid Search,2019-11-16,6/19/2020,150568,114067,196195,41.24,277447,86,9.28,1153,827,82700,November,Saturday,2019
Referral,2019-12-08,7/12/2020,18645,12430,26367,50.52,35689,86,6.19,130,80,24000,December,Sunday,2019
Referral,2019-11-30,6/7/2020,434,391,481,62.79,1171,105,0.0,0,0,0,November,Saturday,2019
Email,2020-05-01,11/18/2020,165706,127209,230984,51.55,314978,78,1.03,1119,836,137104,May,Friday,2020
Organic,2020-04-18,10/17/2020,68650,47847,91533,41.24,119270,173,5.15,538,446,36126,April,Saturday,2020
Email,2020-05-01,10/26/2020,40554,29084,49566,45.36,61081,138,1.03,271,181,13937,May,Friday,2020
Email,2019-08-07,2/21/2020,90467,65794,112398,52.58,143052,138,7.22,533,382,59592,August,Wednesday,2019
Email,2020-02-28,8/14/2020,69129,58861,82905,61.34,238736,111,0.35,294,500,63161,February,Friday,2020
Social,2020-11-25,,95964,63976,125044,64.95,160410,190,11.34,438,296,64232,November,Wednesday,2020
Organic,2019-07-23,2/23/2020,168712,126108,230062,67.01,320692,138,1.03,759,560,239680,July,Tuesday,2019
Affiliates,2019-06-29,1/11/2020,21133,14943,30312,70.1,37354,242,9.28,91,80,22720,June,Saturday,2019
Social,2020-09-13,3/11/2021,62181,45223,82280,41.24,102227,112,4.12,483,337,33700,September,Sunday,2020
Direct,2019-05-20,12/29/2019,58477,42529,76197,56.7,104675,259,12.37,330,280,61880,May,Monday,2019
Social,2020-10-29,4/19/2021,68160,46817,94322,71.13,119093,242,4.12,272,179,78402,October,Thursday,2020
Direct,2019-09-13,3/23/2020,153470,113165,193775,63.92,254452,121,5.15,699,593,96659,September,Friday,2019
Affiliates,2020-10-26,5/9/2021,106909,73432,140386,67.01,184345,104,2.06,463,318,75366,October,Monday,2020
Social,2020-04-04,11/1/2020,133901,100088,188002,43.3,244972,52,11.34,1066,754,118378,April,Saturday,2020
Paid Search,2019-07-06,2/15/2020,173233,117238,230977,59.79,321968,225,12.37,929,741,309738,July,Saturday,2019
Social,2019-05-29,1/5/2020,4161,3152,5380,60.82,7717,78,6.19,21,15,2835,May,Wednesday,2019
Organic,2019-12-20,7/17/2020,153066,102044,204088,54.64,253564,251,5.15,926,814,223036,December,Friday,2019
Referral,2019-04-07,11/17/2019,165028,110019,221704,43.3,291126,242,4.12,1257,1117,74839,April,Sunday,2019
Display,2020-12-21,,133985,104211,185414,44.33,265947,268,9.28,1032,730,156220,December,Monday,2020
Email,2019-07-12,12/28/2019,41702,29065,59815,68.04,81566,156,7.22,191,135,9855,July,Friday,2019
Direct,2020-11-03,4/21/2021,179006,124762,236867,74.23,299074,207,8.25,610,431,101285,November,Tuesday,2020
Display,2020-12-21,,153814,113418,212854,70.1,279505,121,8.25,636,559,253786,December,Monday,2020
Organic,2020-04-30,10/27/2020,124774,84443,178969,73.2,231394,190,8.25,480,315,66465,April,Thursday,2020
Organic,2019-05-19,12/21/2019,141327,101356,175588,62.89,230570,138,10.31,652,494,204516,May,Sunday,2019
Display,2019-09-15,4/1/2020,43188,33154,58020,50.52,80876,69,1.03,287,203,41818,September,Sunday,2019
Paid Search,2019-10-16,5/22/2020,24334,18926,31462,52.58,40043,78,3.09,149,90,25740,October,Wednesday,2019
Display,2020-03-02,8/27/2020,200,61,460,35.65,966,196,22.17,102,174,20547,March,Monday,2020
Referral,2020-11-26,,197384,149533,281123,52.58,371991,199,6.19,1333,1010,303000,November,Thursday,2020
Direct,2019-08-02,2/23/2020,59555,43914,79407,58.76,104272,242,3.09,327,264,32208,August,Friday,2019
Email,2020-12-19,,52203,39020,70659,51.55,93498,259,4.12,342,225,63675,December,Saturday,2020
Direct,2020-08-09,2/28/2021,67156,45449,93611,67.01,130488,190,10.31,309,234,21762,August,Sunday,2020
Referral,2019-12-25,7/22/2020,105865,71646,131529,45.36,174043,225,5.15,719,545,233805,December,Wednesday,2019
Organic,2019-08-26,4/2/2020,134526,101914,175291,50.52,253198,259,1.03,867,674,80206,August,Monday,2019
Email,2019-08-23,2/7/2020,84202,61238,108867,67.01,145156,225,8.25,359,221,18122,August,Friday,2019
Social,2019-06-11,1/10/2020,176006,122671,247120,55.67,319509,181,3.09,1095,841,40368,June,Tuesday,2019
Referral,2019-11-26,5/16/2020,155113,103409,206817,46.39,288290,181,9.28,1109,672,157920,November,Tuesday,2019
Display,2020-11-05,,39102,26858,54111,65.98,73241,199,3.09,184,117,52299,November,Thursday,2020
Display,2019-08-09,1/22/2020,98149,68407,128883,72.16,178353,190,4.12,359,312,135096,August,Friday,2019
Direct,2019-10-04,4/7/2020,138706,106481,169530,72.16,239739,86,11.34,472,429,88803,October,Friday,2019
Display,2020-09-13,3/14/2021,24294,18895,33619,57.73,44825,207,9.28,142,123,55227,September,Sunday,2020
Referral,2019-11-28,6/27/2020,166047,119084,234814,53.61,308342,69,10.31,1089,748,227392,November,Thursday,2019
Direct,2019-11-27,6/30/2020,31346,22164,44961,63.92,54952,86,4.12,162,103,6386,November,Wednesday,2019
Email,2019-12-18,7/28/2020,190362,144214,248047,46.39,318202,138,3.09,1330,1061,72148,December,Wednesday,2019
Paid Search,2020-08-23,2/18/2021,179029,128395,253172,60.82,319662,181,8.25,992,621,51543,August,Sunday,2020
Paid Search,2020-11-18,,19050,13662,25592,42.27,35674,268,4.12,148,126,42336,November,Wednesday,2020
Organic,2019-07-31,1/16/2020,92733,62759,128327,53.61,165918,121,8.25,595,391,19941,July,Wednesday,2019
Direct,2020-04-23,10/5/2020,129817,89167,166533,54.64,218680,112,12.37,755,572,28600,April,Thursday,2020
Direct,2019-11-29,6/19/2020,158988,107598,210378,60.82,265629,277,3.09,824,699,164265,November,Friday,2019
Email,2020-01-02,7/12/2020,92547,68242,113113,48.45,151960,199,4.12,583,412,77868,January,Thursday,2020
Referral,2019-10-22,4/19/2020,97899,75155,137454,48.45,179107,259,11.34,709,530,135680,October,Tuesday,2019
Paid Search,2020-09-01,3/11/2021,85469,65613,113095,44.33,148509,190,5.15,630,465,117180,September,Tuesday,2020
Direct,2020-07-29,2/4/2021,185747,144470,234529,72.16,326919,86,10.31,653,468,35568,July,Wednesday,2020
Referral,2019-07-11,2/7/2020,97800,73103,136327,46.39,181769,259,10.31,731,487,32629,July,Thursday,2019
Affiliates,2020-07-21,1/17/2021,8177,6195,10324,71.13,14287,173,8.25,30,27,5265,July,Tuesday,2020
Email,2020-01-19,8/17/2020,169297,128255,218889,41.24,313962,233,6.19,1286,922,198230,January,Sunday,2020
Direct,2019-08-07,3/19/2020,64995,49895,93225,44.33,127125,147,9.28,519,440,148720,August,Wednesday,2019
Paid Search,2020-03-02,9/12/2020,194640,143522,249690,72.16,353097,277,6.19,695,498,214638,March,Monday,2020
Referral,2020-01-19,8/17/2020,7905,5669,11338,49.48,14201,268,1.03,57,38,17138,January,Sunday,2020
Display,2020-02-08,8/9/2020,195696,138371,276742,43.3,377375,138,1.03,1569,1046,66944,February,Saturday,2020
Paid Search,2019-11-14,5/31/2020,154533,106144,220092,48.45,275671,95,6.19,1135,917,187985,November,Thursday,2019
Referral,2019-10-27,5/14/2020,164721,114806,226283,44.33,308568,277,11.34,1260,789,220920,October,Sunday,2019
Referral,2019-01-18,8/4/2019,153688,107116,214232,46.39,289971,95,2.06,1148,731,161551,January,Friday,2019
Direct,2019-09-23,4/1/2020,158270,116704,228612,63.92,320980,251,5.15,825,692,231820,September,Monday,2019
Referral,2019-06-19,1/8/2020,152550,110945,212645,57.73,281379,225,8.25,899,781,77319,June,Wednesday,2019
Affiliates,2019-10-28,4/20/2020,15290,10966,21159,74.23,26716,121,9.28,55,39,10959,October,Monday,2019
Email,2019-01-28,7/30/2019,70678,50688,90668,74.23,128217,225,11.34,234,182,27118,January,Monday,2019
Affiliates,2020-06-13,12/18/2020,165685,113804,207525,70.1,287181,147,2.06,620,432,194400,June,Saturday,2020
Paid Search,2020-10-05,4/6/2021,3524,2456,4877,61.86,6109,251,6.19,19,16,1120,October,Monday,2020
Paid Search,2020-06-23,12/15/2020,148808,100708,208932,61.86,282797,147,10.31,797,531,188505,June,Tuesday,2020
Display,2019-09-22,4/26/2020,19033,14034,26723,48.45,38060,277,2.06,138,86,11094,September,Sunday,2019
Social,2019-10-26,5/11/2020,195730,134441,245157,57.73,354116,277,12.37,1036,680,92480,October,Saturday,2019
Direct,2020-05-04,12/5/2020,182557,132769,224969,69.07,302231,190,7.22,696,534,72090,May,Monday,2020
Email,2019-12-07,6/27/2020,118378,82506,165012,50.52,230017,259,12.37,816,544,96288,December,Saturday,2019
Referral,2020-01-02,6/23/2020,5728,3877,7811,58.76,10415,147,2.06,32,28,3108,January,Thursday,2020
Organic,2019-03-12,9/26/2019,62501,41667,82703,49.48,112777,164,5.15,418,300,108600,March,Tuesday,2019
Organic,2019-08-26,4/2/2020,138158,107456,198166,65.98,268225,216,3.09,674,606,201192,August,Monday,2019
Affiliates,2019-03-31,10/11/2019,48552,37272,65226,72.16,83015,60,10.31,182,165,48180,March,Sunday,2019
Direct,2020-07-21,1/9/2021,52856,35237,71542,52.58,103338,181,7.22,339,250,78750,July,Tuesday,2020
Display,2020-01-16,8/26/2020,186613,130064,229968,65.98,329853,181,11.34,782,664,248336,January,Thursday,2020
Social,2020-10-15,5/2/2021,31455,22241,43846,52.58,56690,251,6.19,208,172,76884,October,Thursday,2020
Referral,2019-09-13,4/2/2020,73652,52077,94483,74.23,115479,164,9.28,243,218,66054,September,Friday,2019
Affiliates,2019-05-15,11/3/2019,89454,65057,121079,62.89,172446,86,6.19,449,290,123250,May,Wednesday,2019
Social,2020-08-25,2/12/2021,193725,148718,252430,64.95,356972,60,12.37,885,742,291606,August,Tuesday,2020
Social,2020-06-21,12/14/2020,134420,92329,190089,42.27,263052,86,5.15,1097,886,340224,June,Sunday,2020
Organic,2020-08-16,2/3/2021,69660,53476,99916,55.67,139277,259,4.12,443,295,129210,August,Sunday,2020
Email,2019-11-25,6/7/2020,125589,86263,173795,42.27,233482,259,1.03,1003,831,178665,November,Monday,2019
Organic,2019-11-10,5/30/2020,5755,4476,7208,72.16,9683,121,11.34,20,18,7344,November,Sunday,2019
Social,2020-06-19,1/30/2021,109346,79524,139168,54.64,177123,251,9.28,631,465,183210,June,Friday,2020
Display,2019-07-28,1/30/2020,106598,74296,136747,56.7,180948,277,3.09,592,514,69904,July,Sunday,2019
Display,2019-08-13,2/26/2020,164991,116660,209989,50.52,273622,199,3.09,1039,892,355908,August,Tuesday,2019
Paid Search,2019-02-07,7/31/2019,78091,56005,100177,49.48,128510,138,7.22,506,342,63954,February,Thursday,2019
Affiliates,2019-06-19,1/30/2020,124252,95385,155629,62.89,191785,207,10.31,578,525,174825,June,Wednesday,2019
Display,2020-04-01,10/15/2020,170355,115291,216815,69.07,286897,104,7.22,671,441,52479,April,Wednesday,2020
Display,2019-10-27,4/27/2020,161805,111139,214106,42.27,268173,164,3.09,1236,986,438770,October,Sunday,2019
Affiliates,2019-09-03,2/27/2020,68971,50161,86388,41.24,111694,104,10.31,508,400,67600,September,Tuesday,2019
Display,2020-12-02,,70025,46683,87708,44.33,117830,164,6.19,488,424,53000,December,Wednesday,2020
Direct,2020-03-31,9/17/2020,89234,62193,115373,61.86,149169,207,4.12,440,329,99358,March,Tuesday,2020
Paid Search,2020-04-24,10/22/2020,132083,88055,180113,71.13,247428,225,11.34,520,399,92169,April,Friday,2020
Email,2020-05-26,12/14/2020,18408,13388,24358,56.7,30263,147,7.22,105,83,22161,May,Tuesday,2020
